analysis_id,v3qq2751892b5h8
parameter_id,IMPC_XRY_025_001
mouse_strain,C57BL
gene_accession_id,MGI:99501
pvalue,0.3988819
mouse_life_stage,E15.5
gene_symbol,Fgb
parameter_name,Tibia
