analysis_id,f9ruwpdq00g0ss0
gene_accession_id,MGI:99605
mouse_strain,129SV
parameter_id,IMPC_ECG_005_001
mouse_life_stage,Early adult
pvalue,0.9972946
gene_symbol,Cntfr
parameter_name,PQ
