parameter_id,JAX_OFD_022_001
pvalue,0.9730339
mouse_life_stage,Early adult
analysis_id,b028852fe166382
gene_accession_id,MGI:1918025
mouse_strain,C57BL
gene_symbol,Zmynd8
parameter_name,Percentage center time
