gene_symbol,Exd1
pvalue,0.7272987
parameter_id,IMPC_GEL_027_001
gene_accession_id,MGI:3045306
mouse_strain,C57BL
analysis_id,5034bhm77su55y1
parameter_name,Neural tube closure
mouse_life_stage,Early adult
