analysis_id,x62o6009q68b052
mouse_life_stage,Middle aged adult
parameter_id,MGP_MLN_033_001
gene_symbol,AU040320
gene_accession_id,MGI:2140475
mouse_strain,C57BL
pvalue,0.5497542
parameter_name,Resting NK cells - % of NK cells
