parameter_name,Hemoglobin
parameter_id,IMPC_HEM_003_001
gene_symbol,Gfi1b
analysis_id,6rz32152y69j82j
pvalue,0.2297939
mouse_strain,C57BL
gene_accession_id,MGI:1276578
mouse_life_stage,Early adult
