gene_symbol,Rab13
gene_accession_id,MGI:1927232
parameter_name,Retinal Blood Vessels
parameter_id,IMPC_EYE_024_001
mouse_strain,C57BL
analysis_id,47253v90845q8yg
mouse_life_stage,Early adult
pvalue,0.5092869
