gene_symbol,Psd4
parameter_name,Forelimb grip strength normalised against body weight
pvalue,0.605279
parameter_id,HRWLLA_GRS_010_001
gene_accession_id,MGI:2674093
mouse_life_stage,Early adult
analysis_id,0y408ykdpvd5w48
mouse_strain,C57BL
