parameter_id,IMPC_ACS_035_001
gene_symbol,Cntfr
analysis_id,6909n78m1170j28
parameter_name,% Pre-pulse inhibition - PPI3
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
pvalue,0.3776575
mouse_strain,129SV
