parameter_id,GMC_906_001_005
gene_symbol,Sgip1
parameter_name,Potassium
gene_accession_id,MGI:1920344
analysis_id,qi4n3y3v8bv8748
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4902924
