gene_symbol,Mecom
gene_accession_id,MGI:95457
pvalue,0.6780632
mouse_strain,C57BL
parameter_id,IMPC_CBC_015_001
mouse_life_stage,E15.5
analysis_id,y1cc2ucvfoz015i
parameter_name,Total cholesterol
