analysis_id,d9bz6ig34682jf4
mouse_strain,C57BL
parameter_id,IMPC_IMM_055_001
gene_accession_id,MGI:3045306
mouse_life_stage,Early adult
parameter_name,NK Subsets (Q2)
pvalue,0.05632296
gene_symbol,Exd1
