parameter_name,Periphery average speed
analysis_id,3i5s46916d55v8e
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_013_001
pvalue,1.085049
gene_accession_id,MGI:1276578
gene_symbol,Gfi1b
