analysis_id,5mmph74j00700r2
gene_accession_id,MGI:1914071
pvalue,0.111842
gene_symbol,Bcs1l
parameter_id,ESLIM_011_001_002
mouse_strain,C57BL
parameter_name,PP1 startle magnitude
mouse_life_stage,Early adult
