parameter_name,DN CD44+CD62L+ NKT cells
mouse_strain,C57BL
gene_symbol,Wars2
pvalue,0.6983868
gene_accession_id,MGI:1917810
mouse_life_stage,E9.5
analysis_id,476g63qhl090cdz
parameter_id,IMPC_IMM_047_001
