gene_symbol,EXD1
mouse_strain,C57BL
pvalue,0.7361886
parameter_id,M-G-P_026_001_004
parameter_name,Coat colouration
gene_accession_id,MGI:3045306
analysis_id,2640628ba093jh9
mouse_life_stage,Early adult
