parameter_name,Mean cell volume
gene_symbol,Kif24
analysis_id,761792npc077dy0
parameter_id,ESLIM_016_001_005
pvalue,0.4896976
gene_accession_id,MGI:1918345
mouse_strain,C57BL
mouse_life_stage,Early adult
