gene_symbol,Snrpb2
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Total cholesterol
analysis_id,43t36r24a349er2
pvalue,0.1485974
parameter_id,HMGULA_CBC_015_001
gene_accession_id,MGI:104805
