parameter_id,IMPC_DXA_005_001
analysis_id,4y2mg96353r35f0
parameter_name,Bone Mineral Content (excluding skull)
pvalue,0.7210359
mouse_strain,C57BL
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
mouse_life_stage,Late adult
