parameter_name,Alkaline phosphatase
pvalue,0.8860966
gene_symbol,Mapkap1
analysis_id,gk46m2l7k8dycm0
gene_accession_id,MGI:2444554
mouse_life_stage,E12.5
parameter_id,IMPC_CBC_014_001
mouse_strain,C57BL
