parameter_name,Embryo turning
analysis_id,01b56um5n48jd6q
gene_symbol,Hspa5
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:95835
parameter_id,IMPC_GEL_011_001
pvalue,0.3875398
