analysis_id,r08m2725ql1o8ox
parameter_name,Follicular B cells - % of B2 cells
parameter_id,MGP_IMM_048_001
mouse_life_stage,Early adult
gene_symbol,Sprr1b
mouse_strain,C57BL
pvalue,0.8788801
gene_accession_id,MGI:106659
