analysis_id,s0v1a2l0929g7hv
parameter_id,MGP_MLN_074_001
pvalue,0.9026628
mouse_life_stage,Early adult
gene_accession_id,MGI:1915848
gene_symbol,Dnajc8
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_strain,C57BL
