parameter_name,End-Systolic Diameter
mouse_life_stage,Early adult
pvalue,0.4734686
parameter_id,IMPC_ECH_001_001
gene_accession_id,MGI:2684980
mouse_strain,C57BL
gene_symbol,Mms22l
analysis_id,c50n04ihphjjc95
