gene_symbol,Sla2
parameter_id,IMPC_IMM_073_001
analysis_id,6s3l65330khys48
gene_accession_id,MGI:1925049
pvalue,0.5588576
mouse_life_stage,Early adult
parameter_name,cDCs CD11b Type
mouse_strain,C57BL
