analysis_id,0691ut171893317
gene_accession_id,MGI:1934811
mouse_strain,C57BL
gene_symbol,Nucks1
parameter_name,Retina (combined)
pvalue,0.7581931
parameter_id,JAXLA_EYE_092_001
mouse_life_stage,Late adult
