parameter_name,Periphery permanence time
parameter_id,JAX_OFD_012_001
analysis_id,zbl06rid4y0eqsp
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Sgip1
pvalue,0.7755169
gene_accession_id,MGI:1920344
