analysis_id,7fa7k75p8djjdhj
mouse_strain,C57BL
pvalue,0.4703973
parameter_name,Mean-cell-volume
gene_symbol,Morn5
mouse_life_stage,Early adult
gene_accession_id,MGI:1922745
parameter_id,M-G-P_016_001_005
