parameter_name,PQ
mouse_life_stage,Early adult
gene_symbol,Cntfr
mouse_strain,C57BL
analysis_id,99m22if6n21y4x4
parameter_id,IMPC_ECG_005_001
pvalue,0.2824565
gene_accession_id,MGI:99605
