parameter_id,JAX_TLS_001_001
analysis_id,73b5p2dm43mt16z
pvalue,0.6792278
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_name,Time immobile
gene_accession_id,MGI:1924315
gene_symbol,Ints7
