analysis_id,58fz65cya3j58x1
mouse_strain,C57BL
parameter_name,Effector CD4+ T helper cells - % of CD45+
gene_symbol,Kcng1
parameter_id,MGP_MLN_066_001
mouse_life_stage,Early adult
pvalue,0.9977242
gene_accession_id,MGI:3616086
