analysis_id,t2g2645668039l6
pvalue,0.09210374
parameter_name,Clavicle
gene_accession_id,MGI:1914944
parameter_id,IMPC_XRY_007_001
mouse_life_stage,Early adult
gene_symbol,Ift74
mouse_strain,C57BL
