gene_symbol,AU040320
mouse_life_stage,Late adult
analysis_id,f0lb4b2209a0kzj
parameter_id,MGP_PBI_035_001
parameter_name,IgD+ mature B cell number
gene_accession_id,MGI:2140475
mouse_strain,C57BL
pvalue,0.6286803
