parameter_name,Lens
analysis_id,662sfn204ptuqax
gene_accession_id,MGI:1860103
pvalue,0.4934229
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_016_001
gene_symbol,Slc2a8
