parameter_id,JAXLA_GRS_010_001
mouse_life_stage,E9.5
analysis_id,u84pbn97h882m5w
pvalue,0.7676482
gene_accession_id,MGI:1924315
mouse_strain,C57BL
parameter_name,Forelimb grip strength normalised against body weight
gene_symbol,Ints7
