parameter_name,Dark side time spent
analysis_id,2ibytc10829k37a
pvalue,0.8681808
mouse_life_stage,Early adult
parameter_id,JAX_LDT_004_001
mouse_strain,C57BL
gene_accession_id,MGI:1916222
gene_symbol,Tatdn3
