parameter_name,PQ
pvalue,0.7779922
gene_symbol,Zyg11b
mouse_strain,C57BL
parameter_id,IMPC_ECG_005_001
mouse_life_stage,Early adult
analysis_id,sw0qg9x2u581jy9
gene_accession_id,MGI:2685277
