analysis_id,084h3hzyr4707ok
parameter_name,Lower teeth appearance
gene_accession_id,MGI:1913483
pvalue,0.6848737
mouse_strain,C57BL
gene_symbol,Dmap1
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_070_001
