gene_symbol,Tubb4b
gene_accession_id,MGI:1915472
pvalue,0.5316655
parameter_id,IMPC_DXA_010_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Bone Area
analysis_id,ea70wrt12598w6v
