gene_symbol,Mgst2
parameter_id,MGP_MLN_006_001
mouse_strain,C57BL
analysis_id,m49wou4kv814l05
pvalue,0.2689303
gene_accession_id,MGI:2448481
mouse_life_stage,Early adult
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
