parameter_name,Fusion of vertebrae
mouse_strain,C51BL
gene_accession_id,MGI:88461
mouse_life_stage,Early adult
analysis_id,94z0c5d6spx275t
parameter_id,M-G-P_006_001_026
gene_symbol,COL6A3
pvalue,0.2562871
