analysis_id,s3o6167m74k2xr7
gene_accession_id,MGI:97054
pvalue,0.341553
parameter_id,IMPC_CSD_028_001
gene_symbol,Mov10
mouse_strain,C57BL
parameter_name,Snout size
mouse_life_stage,Early adult
