analysis_id,3mj3n37s3359p5k
gene_symbol,Cldn19
gene_accession_id,MGI:3033992
pvalue,0.2397057
parameter_name,Gait
parameter_id,IMPC_CSD_033_001
mouse_life_stage,Early adult
mouse_strain,C57BL
