parameter_name,CD8 CD44+CD62L- T cells
gene_symbol,Dnajc6
parameter_id,IMPC_IMM_032_001
gene_accession_id,MGI:1919935
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.912924
analysis_id,l4pv92l54n060aa
