analysis_id,87z596vt9dwcl25
parameter_name,Macrophages - % of CD45+
mouse_life_stage,Early adult
pvalue,0.9899587
parameter_id,MGP_IMM_121_001
gene_symbol,Tox
gene_accession_id,MGI:2181659
mouse_strain,C57BL
