parameter_name,Total cholesterol
parameter_id,HMGULA_CBC_015_001
analysis_id,rhc420vw75r9c59
gene_symbol,Frmpd1
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.6693498
gene_accession_id,MGI:2446274
