analysis_id,3n071ss2ga51n08
parameter_name,Mean-corpuscular-haemoglobin
parameter_id,M-G-P_016_001_006
gene_accession_id,MGI:1918025
pvalue,0.3515059
mouse_life_stage,Early adult
mouse_strain,129SV
gene_symbol,Zmynd8
