analysis_id,szi98dbw9xgbs1p
parameter_id,IMPC_CSD_016_001
gene_accession_id,MGI:99605
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Coat - hair texture / appearance - abdomen
gene_symbol,Cntfr
pvalue,0.8440106
