parameter_name,DN CD25- NKT cells
pvalue,0.3839267
mouse_life_stage,Early adult
gene_symbol,Cds2
gene_accession_id,MGI:1332236
mouse_strain,129SV
analysis_id,l33we49272561yi
parameter_id,IMPC_IMM_025_001
