gene_symbol,Mgst2
parameter_name,Resting NK cells - % of CD45+
analysis_id,t486t9szaw32648
pvalue,0.7759288
parameter_id,MGP_IMM_100_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2448481
