analysis_id,730g131f5ywl4ik
pvalue,0.4772109
gene_symbol,Slc28a2
mouse_strain,C57BL
parameter_id,MGP_MLN_013_001
gene_accession_id,MGI:1913105
mouse_life_stage,Early adult
parameter_name,Effector CD8+ T cells - % of CD8+
