analysis_id,i6804f39k65dq05
gene_accession_id,MGI:1915087
pvalue,0.51304
mouse_life_stage,Early adult
parameter_name,Resting Treg cells - % of CD45+
parameter_id,MGP_IMM_078_001
mouse_strain,C57BL
gene_symbol,Tiprl
