parameter_id,IMPC_OWT_004_001
gene_symbol,Ift74
mouse_strain,C57BL
pvalue,0.689909
mouse_life_stage,Early adult
parameter_name,Right kidney weight
gene_accession_id,MGI:1914944
analysis_id,vu2c50wty8xed6j
