analysis_id,3x2a62d6m7956ke
mouse_strain,C57BL
gene_accession_id,MGI:1922745
pvalue,0.7889951
parameter_id,MGP_IMM_028_001
mouse_life_stage,Early adult
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
gene_symbol,Morn5
