analysis_id,2r330pu5s83x0v8
gene_symbol,Frmpd1
parameter_name,BMC/Body weight
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2681522
parameter_id,JAXLA_DXA_007_001
