analysis_id,vt7050c12w6751w
gene_accession_id,MGI:1920638
gene_symbol,Bpifa3
mouse_life_stage,Early adult
parameter_name,B Cells
parameter_id,IMPC_IMM_063_001
mouse_strain,129SV
pvalue,0.6165113
