analysis_id,tak077782qfp22i
mouse_strain,C57BL
pvalue,0.9845729
parameter_name,12kHz-evoked ABR Threshold
gene_accession_id,MGI:97838
gene_symbol,Eprs1
parameter_id,IMPC_ABR_006_001
mouse_life_stage,Early adult
