gene_symbol,Trp53rkb
parameter_id,IMPC_ABR_004_001
gene_accession_id,MGI:1914050
mouse_life_stage,Early adult
analysis_id,r79car67b624y50
parameter_name,6kHz-evoked ABR Threshold
mouse_strain,C53BL
pvalue,0.14376
