parameter_name,Contact righting
mouse_strain,C57BL
analysis_id,643748z43l5v4i2
gene_symbol,Bach2
gene_accession_id,MGI:894679
pvalue,0.2758116
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_077_001
