gene_symbol,Zc2hc1a
mouse_life_stage,Early adult
gene_accession_id,MGI:1914556
mouse_strain,C57BL
pvalue,0.9445303
parameter_id,IMPC_CSD_029_001
analysis_id,s016p91m9ag4mt4
parameter_name,Activity (body position)
