analysis_id,f6iha390vv21u5h
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_013_001
mouse_life_stage,Early adult
parameter_name,Periphery average speed
gene_symbol,Lime1
pvalue,0.0513246
gene_accession_id,MGI:1919949
