analysis_id,f6p71fyee1s66pc
mouse_life_stage,Early adult
gene_symbol,Gpbp1l1
parameter_id,IMPC_CBC_009_001
pvalue,0.7858185
mouse_strain,C57BL
gene_accession_id,MGI:1924360
parameter_name,Calcium
