analysis_id,ae484862p6986k4
parameter_id,IMPC_GEP_076_001
pvalue,0.2123978
gene_symbol,Zmynd8
gene_accession_id,MGI:1918025
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Cleft palate
