parameter_name,Whole arena resting time
pvalue,0.4270349
mouse_life_stage,E15.5
analysis_id,2956e217ut577z0
gene_accession_id,MGI:95457
gene_symbol,Mecom
mouse_strain,C57BL
parameter_id,ESLIM_007_001_003
